report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5d9c436ac9e77c000c80b048,5d9c47fbc9e77c000dcd02a8,其他,3,必现,2019/10/8 8:25,登录,登录手机号长度限制问题,手机号应该为11位应该限制输入的长度，但是能够成功输入135565256458962324，超过11位的数值,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570523125809/1570523125809_登录手机号长度限制问题.png,测试登录手机号码格式_手机长度,成功打开趣享APP,手机号码：输入长度超过11位（正常手机号码长度）的数字,无法输入超过11位的数值
5d9c436ac9e77c000c80b048,5d9c4a49c9e77c000dcd02ad,用户体验,4,必现,2019/10/8 8:35,登录,昵称无法输入中文,输入：测试昵称等中文昵称无法显示,"http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570523703473/1570523703473_昵称中文无法输入1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570523708815/1570523708815_昵称中文无法输入2.png",测试创建昵称_中文问昵称,成功用手机号码登录,输入中文昵称如：测试昵称,能够输入中文昵称
5d9c436ac9e77c000c80b048,5d9d2ba8c9e77c000eb7a295,性能,5,必现,2019/10/9 0:36,个人界面,个人界面的编辑个人界面无法使用,进入首页后，点击左上角图标进入个人界面，点击编辑个人简介，出现：很抱歉，“趣享GIF开源版”已停止运行。的提示并强制退出APP返回手机界面。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570581414718/1570581414718_个人页面点击编辑强退.png,个人界面_点击编辑个人简介,"成功登录APP，进入主页面
","1.点击主页面左上角的图标进入个人界面
2.点击编辑个人简介
",进入编辑个人简介界面
5d9c436ac9e77c000c80b048,5d9d2d6bc9e77c000eb7a299,性能,5,必现,2019/10/9 0:44,个人界面,无法在个人主页面点击头像后进入的界面中，无法点击编辑图标,进入个人界面，点击头像进入界面，点击笔形状的图标，无法使用，并提示：很抱歉，“趣享GIF开源版”已停止运行。然后强制返回上一级,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570581846380/1570581846380_点击头像进入的界面无法编辑.png,个人界面_点击头像_点击笔状图标,成功登录APP，进入主页面,"1.点击主页面左上角图标进入个人界面；
2.点击头像进入；
3.点击笔形状图标；",进入编辑头像功能
5d9c436ac9e77c000c80b048,5d9d2f88c9e77c000eb7a29e,用户体验,3,必现,2019/10/9 0:53,个人界面,点击头像后点击发布的返回逻辑有误,"1.点击头像进入后，
2.分别点击粉丝，关注，发布；并且每次点击后返回，
3.观察是否返回到上一级页面；
4.发现点击发布返回的界面并不是上一级，而是上上级；",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570582406556/1570582406556_发布点击返回逻辑错误.png,个人界面_点击头像_发布/关注/粉丝,成功登录进入APP并进入首页,"1.点击左上角图标进入个人界面；
2.点击头像；
3.点击关注，点击返回；
4.点击粉丝，点击返回；
5.点击发布，点击返回；",每次点击返回都返回上一级页面，即点击头像进入的界面
5d9c436ac9e77c000c80b048,5d9d32c4c9e77c000eb7a2a2,功能不完整,3,必现,2019/10/9 1:07,个人界面,GIF相册提示错误,"1.点击个人界面的发布趣图
2.点击贴上一张GIF图片
3.里面没有GIF图却提示：您的相册已满，建议及时清理",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570583234772/1570583234772_gif个数显示错误.png,个人界面_点击发布趣图_贴上一张GIF图片,成功登陆进入APP，进入主页面,"1.点击主页面左上角图标进入个人界面；
2.点击发布趣图；
3.点击：贴上一张GIF图片",若有gif图片则显示，若无，则提示相册为空
5d9c436ac9e77c000c80b048,5d9d3566c9e77c000eb7a2a6,用户体验,3,必现,2019/10/9 1:18,个人界面-发布趣图-发布趣图,敏感字眼无法识别并且屏蔽,"1.点击主页左上角图标进入个人界面；
2.点击发布趣图；
3.点击贴上一张GIF图片
4.点击右上角图标，点击“从SD卡中选择”
5.选择提前准备好的GIF图
6.点击发布内容，输入敏感字眼
7.点击发布按钮
8.发布成功了，应该无法发布，提示有敏感字",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570583908432/1570583908432_发布内容敏感字检测.png,个人界面_点击发布趣图_输入敏感字符,成功登陆app，并且进首页；并且提前在手机中准备好一张GIF图,"1.点击主页左上角图标进入个人界面；
2.点击发布趣图；
3.点击贴上一张GIF图片
4.点击右上角图标，点击“从SD卡中选择”
5.选择提前准备好的GIF图
6.点击发布内容，输入敏感字眼
7.点击发布按钮",提示有敏感字眼并且无法发布
5d9c436ac9e77c000c80b048,5d9d3d65c9e77c000eb7a2be,用户体验,2,必现,2019/10/9 1:52,个人界面-发布趣图,返回“从SD卡选择”或“从相册选择”上一级页面有误,"1.点击主页左上角图标进入个人界面；
2.点击发布趣图；
3.点击贴上一张GIF图片
4.点击右上角图标，点击“从SD卡中选择”或“从相册中选择”
5.点击返回
6.返回到发布页面而不是选择图片页面",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570585955804/1570585955804_选择图片返回级有误.png,个人界面_点击发布趣图_选择图片,成功登录app，并且进入首页,"1.点击主页左上角图标进入个人界面；
2.点击发布趣图；
3.点击贴上一张GIF图片
4.点击右上角图标，点击“从SD卡中选择”或“从相册中选择”
5.点击返回
",返回可以选择点击“从SD卡中选择”或“从相册中选择”的界面
5d9c436ac9e77c000c80b048,5d9d46f2c9e77c000eb7a2cd,页面布局缺陷,4,必现,2019/10/9 2:33,主界面-关注,自己的内容出现在关注的页面中,自己发布的内容不应该出现在关注页面中,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570588396375/1570588396375_发布内容分类有误.png,主页面_关注分栏,成功登陆app，成功进入首页，自己成功发布过GIF图，没有关注过其他人,"1.成功发布GIF图后，进入首页的关注页面，
2.下拉刷新
",没有内容
5d9c436ac9e77c000c80b048,5d9d484cc9e77c000eb7a2d1,功能不完整,4,必现,2019/10/9 2:39,主界面-世界-世界,评论时间有误,"1.在首页任意选择一个GIF图；
2.点击评论，输入评论并且发表；
3.查看自己发表的评论的评论时间；
4.等待一分钟后，重新进入评论界面重新观看评论时间
5.时间显示单位为天数，有错误",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570588745919/1570588745919_评论时间有误.png,评论发布时间显示问题,成功登陆APP，进入首页,"1.在首页任意选择一个GIF图；
2.点击评论，输入评论并且发表；
3.查看自己发表的评论的评论时间；
4.等待一分钟后，重新进入评论界面重新观看评论时间",显示的时间正常
5d9c436ac9e77c000c80b048,5d9d4cd8c9e77c000eb7a2d5,功能不完整,4,必现,2019/10/9 2:58,个人界面-个人主页,个人发布GIF图动态时间与实际发布时间有误,"1.点击首页左上角图标进入个人界面；
2.点击个人主页；
3.查看之前发布的GIF图的动态的发布时间；
4.显示时间为15天前，然而发布只是在15分钟前、
5.推测为时间单位有误",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570589908216/1570589908216_发布时间单位有误.png,GIF动态发布时间显示问题,"1.成功登录APP，
2.成功进入首页，
3.自己成功发布一个GIF图片动态","1.点击首页左上角图标进入个人界面；
2.点击个人主页；
3.查看之前发布的GIF图的动态的发布时间；",时间显示正常
5d9eb49ac9e77c000eb7a2f1,5d9ebad1c9e77c000eb7a2fe,不正常退出,5,必现,2019/10/10 5:00,个人界面-简介编辑,点击“编辑个人简介”是时程序崩溃,1、进入APP 2、点击左上角的更多选项 3、点击“编辑个人简介”功能 4、程序崩溃,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570683502675/1570683502675_QQ截图20191010125752.png,趣享GIF个人页面测试,正常打开app，打开各个功能,1.进入手机app中点击个人界面。2 查看编辑个人简介模块  3点击发布趣图，选择一张GIF图片上传  4依次点击个人主页，推荐关注，草稿箱和设置,"1 可以能够正常编辑个人简历
2 能够正常发布GIF趣图
3 能够正常显示出现个人主页，推荐关注，草稿箱，设置"
5d9eb49ac9e77c000eb7a2f1,5d9ebc25c9e77c000eb7a30b,用户体验,1,必现,2019/10/10 5:05,个人界面-发布趣图,发布趣图时一定要有文字,"1进入个人界面 
2点击发布趣图
3必须要有文字，才能发布趣图",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570683924014/1570683924014_趣图2.png,趣享GIF个人页面测试,正常打开app，打开各个功能,1.进入手机app中点击个人界面。2 查看编辑个人简介模块  3点击发布趣图，选择一张GIF图片上传  4依次点击个人主页，推荐关注，草稿箱和设置,"1 可以能够正常编辑个人简历
2 能够正常发布GIF趣图
3 能够正常显示出现个人主页，推荐关注，草稿箱，设置"
5d9eb49ac9e77c000eb7a2f1,5d9ebe27c9e77c000eb7a30e,功能不完整,3,必现,2019/10/10 5:14,个人界面-个人主页,个人主页的功能不完善,"1进入个人界面
2点击个人主页
3点击编辑按钮无法编辑，退回到主页面",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570684451960/1570684451960_按钮.png,趣享GIF个人页面测试,正常打开app，打开各个功能,1.进入手机app中点击个人界面。2 查看编辑个人简介模块  3点击发布趣图，选择一张GIF图片上传  4依次点击个人主页，推荐关注，草稿箱和设置,"1 可以能够正常编辑个人简历
2 能够正常发布GIF趣图
3 能够正常显示出现个人主页，推荐关注，草稿箱，设置"
5d9eb49ac9e77c000eb7a2f1,5d9ec3edc9e77c000eb7a31a,功能不完整,3,必现,2019/10/10 5:38,主界面-世界,评论显示失败,"1进入主界面
2点击趣图
3在评论区输入文字
4点击发送，显示评论失败",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570685928709/1570685928709_Screenshot_20191010-133746.jpg,趣享GIF主页面测试,"1 正常登陆app,
2进入主页面
","1在主页面点击世界。
2然后随便点击一个趣图 。
3点击点赞，转发和评论功能。 ","1趣图能够打开
2能够正常转发
3能够正常评论"
